eduroam	2412	1	6
tudelft-dastud	2412	1	6
TUvisitor	2412	1	6
TUvisitor	2412	1	6
Wie is wifi?	2412	1	4
TUvisitor	2412	1	6
eduroam	2432	5	6
eduroam	2432	5	6
TUvisitor	2432	5	6
tudelft-dastud	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
TUvisitor	2432	5	6
tudelft-dastud	2432	5	6
eduroam	2452	9	6
eduroam	2452	9	6
tudelft-dastud	2452	9	6
TUvisitor	2452	9	6
tudelft-dastud	2452	9	6
TUvisitor	2452	9	6
eduroam	2452	9	6
tudelft-dastud	2472	13	6
tudelft-dastud	2472	13	6
TUvisitor	2472	13	6
tudelft-dastud	2472	13	6
TUvisitor	2472	13	6
tudelft-dastud	2472	13	6
TUvisitor	2472	13	6
eduroam	2472	13	6
eduroam	2472	13	6
tudelft-dastud	2472	13	6
TUvisitor	2472	13	6
eduroam	5240	48	5
tudelft-dastud	5240	48	5
TUvisitor	5240	48	5
eduroam	5320	64	5
tudelft-dastud	5320	64	5
tudelft-dastud	5320	64	5
TUvisitor	5320	64	5
TUvisitor	5320	64	5
eduroam	5500	100	5
tudelft-dastud	5500	100	5
TUvisitor	5500	100	5
eduroam	5520	104	5
tudelft-dastud	5520	104	5
TUvisitor	5520	104	5
eduroam	5520	104	5
eduroam	5560	112	5
eduroam	5560	112	5
tudelft-dastud	5560	112	5
tudelft-dastud	5560	112	5
TUvisitor	5560	112	5
TUvisitor	5560	112	5
eduroam	5580	116	5
tudelft-dastud	5580	116	5
TUvisitor	5580	116	5
eduroam	5660	132	5
tudelft-dastud	5660	132	5
TUvisitor	5660	132	5
eduroam	5700	140	5
tudelft-dastud	5700	140	5
TUvisitor	5700	140	5
TUvisitor	5700	140	5
eduroam	2412	1	6
tudelft-dastud	2412	1	6
TUvisitor	2412	1	6
TUvisitor	2412	1	6
eduroam	2412	1	6
tudelft-dastud	2412	1	6
eduroam	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
eduroam	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
TUvisitor	2432	5	6
tudelft-dastud	2432	5	6
eduroam	2452	9	6
tudelft-dastud	2452	9	6
TUvisitor	2452	9	6
TUvisitor	2452	9	6
TEMPORARY	2462	11	4
TEMPORARY2	2462	11	4
tudelft-dastud	2472	13	6
TUvisitor	2472	13	6
TUvisitor	2472	13	6
TUvisitor	2472	13	6
tudelft-dastud	2472	13	6
eduroam	5220	44	5
eduroam	5240	48	5
tudelft-dastud	5240	48	5
TUvisitor	5240	48	5
eduroam	5260	52	5
eduroam	5300	60	5
eduroam	5320	64	5
eduroam	5320	64	5
tudelft-dastud	5320	64	5
tudelft-dastud	5320	64	5
TUvisitor	5320	64	5
TUvisitor	5320	64	5
eduroam	5500	100	5
tudelft-dastud	5500	100	5
TUvisitor	5500	100	5
TUvisitor	5500	100	5
eduroam	5520	104	5
tudelft-dastud	5520	104	5
TUvisitor	5520	104	5
eduroam	5560	112	5
tudelft-dastud	5560	112	5
tudelft-dastud	5560	112	5
TUvisitor	5560	112	5
eduroam	5580	116	5
tudelft-dastud	5580	116	5
TUvisitor	5580	116	5
eduroam	5660	132	5
tudelft-dastud	5660	132	5
TUvisitor	5660	132	5
eduroam	5660	132	5
eduroam	5700	140	5
tudelft-dastud	5700	140	5
TUvisitor	5700	140	5
tudelft-dastud	2412	1	6
eduroam	2412	1	6
eduroam	2412	1	6
tudelft-dastud	2412	1	6
TUvisitor	2412	1	6
tudelft-dastud	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
TUvisitor	2432	5	6
TUvisitor	2432	5	6
ChromecastAli.b	2437	6	4
ChromecastAli.b	2437	6	4
tudelft-dastud	2452	9	6
TUvisitor	2452	9	6
TUvisitor	2452	9	6
SitecomD8A1E8	2462	11	4
eduroam	2472	13	6
TUvisitor	2472	13	6
tudelft-dastud	2472	13	6
TUvisitor	2472	13	6
FUCKING EDUROAM	2472	13	6
eduroam	5240	48	5
tudelft-dastud	5240	48	5
TUvisitor	5240	48	5
TUvisitor	5240	48	5
eduroam	5320	64	5
tudelft-dastud	5320	64	5
tudelft-dastud	5320	64	5
eduroam	5320	64	5
eduroam	5500	100	5
tudelft-dastud	5500	100	5
TUvisitor	5500	100	5
eduroam	5520	104	5
tudelft-dastud	5520	104	5
TUvisitor	5520	104	5
eduroam	5520	104	5
eduroam	5560	112	5
tudelft-dastud	5560	112	5
tudelft-dastud	5560	112	5
TUvisitor	5560	112	5
eduroam	5580	116	5
tudelft-dastud	5580	116	5
TUvisitor	5580	116	5
eduroam	5580	116	5
eduroam	5660	132	5
tudelft-dastud	5660	132	5
TUvisitor	5660	132	5
eduroam	5700	140	5
tudelft-dastud	5700	140	5
TUvisitor	5700	140	5
eduroam	2412	1	6
tudelft-dastud	2412	1	6
TUvisitor	2412	1	6
tudelft-dastud	2412	1	6
TUvisitor	2412	1	6
eduroam	2432	5	6
tudelft-dastud	2432	5	6
eduroam	2432	5	6
tudelft-dastud	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2452	9	6
TUvisitor	2452	9	6
TUvisitor	2472	13	6
TUvisitor	2472	13	6
eduroam	2472	13	6
tudelft-dastud	2472	13	6
eduroam	5240	48	5
tudelft-dastud	5240	48	5
TUvisitor	5240	48	5
tudelft-dastud	5240	48	5
eduroam	5300	60	5
eduroam	5320	64	5
eduroam	5320	64	5
tudelft-dastud	5320	64	5
tudelft-dastud	5320	64	5
TUvisitor	5320	64	5
TUvisitor	5320	64	5
TUvisitor	5300	60	5
eduroam	5500	100	5
tudelft-dastud	5500	100	5
TUvisitor	5500	100	5
TUvisitor	5500	100	5
eduroam	5520	104	5
tudelft-dastud	5520	104	5
TUvisitor	5520	104	5
eduroam	5560	112	5
tudelft-dastud	5560	112	5
TUvisitor	5560	112	5
eduroam	5580	116	5
tudelft-dastud	5580	116	5
TUvisitor	5580	116	5
eduroam	5660	132	5
tudelft-dastud	5660	132	5
TUvisitor	5660	132	5
eduroam	5660	132	5
eduroam	5700	140	5
tudelft-dastud	5700	140	5
TUvisitor	5700	140	5
eduroam	2412	1	6
tudelft-dastud	2412	1	6
TUvisitor	2412	1	6
tudelft-dastud	2412	1	6
eduroam	2432	5	6
eduroam	2432	5	6
eduroam	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
Balpol 524TL	2437	6	4
TUvisitor	2452	9	6
TUvisitor	2452	9	6
eduroam	2452	9	6
TUvisitor	2472	13	6
TUvisitor	2472	13	6
TUvisitor	2472	13	6
eduroam	5240	48	5
tudelft-dastud	5240	48	5
TUvisitor	5240	48	5
eduroam	5300	60	5
eduroam	5320	64	5
eduroam	5320	64	5
tudelft-dastud	5320	64	5
TUvisitor	5320	64	5
eduroam	5500	100	5
tudelft-dastud	5520	104	5
eduroam	5500	100	5
tudelft-dastud	5500	100	5
TUvisitor	5500	100	5
eduroam	5520	104	5
tudelft-dastud	5520	104	5
TUvisitor	5520	104	5
tudelft-dastud	5560	112	5
tudelft-dastud	5580	116	5
eduroam	5560	112	5
eduroam	5560	112	5
tudelft-dastud	5560	112	5
tudelft-dastud	5560	112	5
TUvisitor	5560	112	5
eduroam	5580	116	5
tudelft-dastud	5580	116	5
TUvisitor	5580	116	5
TUvisitor	5660	132	5
eduroam	5660	132	5
tudelft-dastud	5660	132	5
TUvisitor	5660	132	5
tudelft-dastud	5700	140	5
eduroam	5700	140	5
tudelft-dastud	5700	140	5
TUvisitor	5700	140	5
eduroam	2412	1	6
tudelft-dastud	2412	1	6
TUvisitor	2412	1	6
TUvisitor	2412	1	6
tudelft-dastud	2412	1	6
TUvisitor	2412	1	6
eduroam	2412	1	6
eduroam	2432	5	6
tudelft-dastud	2432	5	6
eduroam	2432	5	6
TUvisitor	2432	5	6
tudelft-dastud	2432	5	6
tudelft-dastud	2432	5	6
TUvisitor	2432	5	6
TUvisitor	2432	5	6
eduroam	2432	5	6
TUvisitor	2452	9	6
tudelft-dastud	2472	13	6
tudelft-dastud	2472	13	6
eduroam	2472	13	6
eduroam	5240	48	5
tudelft-dastud	5240	48	5
TUvisitor	5240	48	5
tudelft-dastud	5260	52	5
TUvisitor	5320	64	5
eduroam	5260	52	5
tudelft-dastud	5260	52	5
TUvisitor	5260	52	5
eduroam	5320	64	5
tudelft-dastud	5320	64	5
TUvisitor	5320	64	5
TUvisitor	5500	100	5
eduroam	5520	104	5
eduroam	5500	100	5
tudelft-dastud	5500	100	5
TUvisitor	5500	100	5
eduroam	5520	104	5
tudelft-dastud	5520	104	5
TUvisitor	5520	104	5
eduroam	5580	116	5
TUvisitor	5660	132	5
